"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(27.5, 3.61667)",3,6700,32,2290.33,1989,1989,1989.00
"(-72.77944, 75.27)",3,6.87,2.16,5.16,2006,2006,2006.00
"(-72.78667, 75.29167)",3,3.27,1.27,2.11,2006,2006,2006.00
"(-72.77778, 75.32139)",3,41.21,3.9,19.11,2006,2006,2006.00
"(27.06667, 16.06667)",3,86,43,62.00,1999,1999,1999.00
"(-72.77944, 75.32389)",3,71.28,13.33,43.15,2006,2006,2006.00
"(33.21667, -102.18333)",3,40960,1626,15562.00,1964,1937,1953.67
"(27.26683, 16.06683)",3,103,16,56.67,1997,1997,1997.00
"(-72.78389, 75.2725)",3,3.48,1.19,1.98,2006,2006,2006.00
"(-72.778333, 75.3025)",3,0.83,0.76,0.80,2006,2006,2006.00
"(20.0, 50.0)",3,490,18,187.67,1957,1955,1955.67
"(-76.69306, 159.39222)",3,16.2,5.7,10.47,1981,1981,1981.00
"(-72.77472, 75.33083)",3,179.05,4.05,80.57,2003,2003,2003.00
"(-72.774444, 75.321667)",3,2.11,1.02,1.40,2003,2003,2003.00
"(-76.68219, 159.31165)",3,26.4,12.47,17.59,1988,1988,1988.00
"(36.5, -104.5)",3,18000,800,6760.67,1956,1954,1954.67
"(-72.98417, 75.24667)",3,8.27,0.48,3.11,2003,2003,2003.00
"(-72.77889, 75.30139)",3,0.81,0.44,0.57,2003,2003,2003.00
"(26.98333, 16.38333)",3,744,58,351.33,1999,1999,1999.00
"(-76.69306, 159.39194)",3,15.6,3.8,10.20,1981,1981,1981.00
"(-72.78, 75.311944)",3,75.4,9.29,44.11,2006,2006,2006.00
"(-76.69778, 159.3975)",3,8,3.2,4.83,1981,1981,1981.00
"(-76.69222, 159.29576)",3,415,28.5,157.53,1988,1988,1988.00
"(27.7, 4.3)",3,4439,188,1775.33,1990,1990,1990.00
"(-72.778333, 75.313889)",3,4.09,2.09,3.13,2003,2003,2003.00
"(-72.99222, 160.4)",3,18.2,0.8,6.80,2001,2001,2001.00
"(-72.95533, 160.43857)",3,11.7,1.3,5.50,1991,1991,1991.00
"(-72.95341, 160.52175)",3,13.8,4.6,8.10,1990,1990,1990.00
"(-72.95203, 160.50939)",3,3.44,2.55,2.99,2003,2003,2003.00
"(-30.18333, 126.36667)",3,19900,66,6711.73,1995,1964,1976.67
"(-72.935278, 75.321944)",3,12.76,1.55,6.50,2006,2006,2006.00
"(-72.98833, 160.40139)",3,8.9,0.3,5.30,2001,2001,2001.00
"(-72.9525, 160.50528)",3,13.6,8.45,10.95,2001,1993,1995.67
"(-72.773611, 75.32)",3,2.45,0.9,1.52,2003,2003,2003.00
"(-72.77917, 75.31556)",3,50.23,18.69,32.73,2006,2006,2006.00
"(-72.77889, 75.30972)",3,5.25,0.51,2.38,2006,2006,2006.00
"(-72.95431, 160.50126)",3,9.11,1.9,5.02,1991,1990,1990.33
"(-72.77833, 75.31)",3,3.36,1.28,2.06,2006,2006,2006.00
"(27.66667, 4.2)",3,752,206,401.00,1990,1989,1989.67
"(27.38833, -9.01733)",3,3660,382,1567.33,2000,2000,2000.00
"(-72.77917, 75.31667)",3,359,15.48,142.66,2006,2006,2006.00
"(-85.63333, 157.16667)",3,513.6,0.3,176.97,1992,1990,1991.33
"(-72.98833, 160.40722)",3,1.3,0.5,0.77,2001,1997,1998.33
