"geolocation","count_total","max_mass","min_mass","avg_mass","max_year","min_year","avg_year"
"(-20.81, -49.38056)",1,927,927,927.00,1962,1962,1962.00
"(12.63333, 77.01667)",1,4400,4400,4400.00,1865,1865,1865.00
"(42.06667, -104.16667)",1,259.1,259.1,259.10,1944,1944,1944.00
"(45.43333, -0.45)",1,5000,5000,5000.00,1819,1819,1819.00
"(44.71667, 4.3)",1,91000,91000,91000.00,1821,1821,1821.00
"(43.43333, 2.95)",1,134.3,134.3,134.30,1959,1959,1959.00
"(26.13333, 85.53333)",1,1245,1245,1245.00,1964,1964,1964.00
"(29.01667, 77.8)",1,22,22,22.00,1861,1861,1861.00
"(43.26667, 13.35)",1,3130,3130,3130.00,1846,1846,1846.00
"(53.415, -111.3375)",1,4576,4576,4576.00,1977,1977,1977.00
"(48.18333, 6.46667)",1,277,277,277.00,1822,1822,1822.00
"(44.76667, 11.28333)",1,1000,1000,1000.00,1824,1824,1824.00
"(11.33367, -3.54217)",1,NULL,NULL,NULL,1989,1989,1989.00
"(41.93333, -7.46667)",1,2945,2945,2945.00,1925,1925,1925.00
"(43.2, -96.91667)",1,45.6,45.6,45.60,1956,1956,1956.00
"(49.88333, 13.91667)",1,2000,2000,2000.00,1824,1824,1824.00
"(7.95, 8.08333)",1,103000,103000,103000.00,1927,1927,1927.00
"(50.31667, 3.73333)",1,9000,9000,9000.00,1934,1934,1934.00
"(29.51667, 35.05)",1,779,779,779.00,1949,1949,1949.00
"(26.95, 77.88333)",1,450,450,450.00,1860,1860,1860.00
"(10.01667, 9.58333)",1,357,357,357.00,1942,1942,1942.00
"(45.95, -67.55)",1,2840,2840,2840.00,1949,1949,1949.00
"(-6.33333, 106.0)",1,629,629,629.00,1933,1933,1933.00
"(36.05, -94.16667)",1,2360,2360,2360.00,1934,1934,1934.00
"(38.41667, -77.16667)",1,7500,7500,7500.00,1825,1825,1825.00
"(52.86667, 16.63333)",1,690,690,690.00,1910,1910,1910.00
"(37.28333, 14.7)",1,42,42,42.00,1826,1826,1826.00
"(24.8, 103.3)",1,2520,2520,2520.00,1980,1980,1980.00
"(52.2, 17.98333)",1,910,910,910.00,1880,1880,1880.00
"(-17.3, 15.83333)",1,2400,2400,2400.00,1961,1961,1961.00
"(40.25, -74.0)",1,28,28,28.00,1829,1829,1829.00
"(-31.66667, 152.83333)",1,30,30,30.00,1999,1999,1999.00
"(34.48333, 133.28333)",1,1500,1500,1500.00,1926,1926,1926.00
"(48.9, 11.21667)",1,3000,3000,3000.00,1785,1785,1785.00
"(23.0, -102.0)",1,56,56,56.00,1804,1804,1804.00
"(36.95, 9.55)",1,10000,10000,10000.00,1999,1999,1999.00
"(47.35, 21.3)",1,3000,3000,3000.00,1857,1857,1857.00
"(51.46667, 84.76667)",1,16400,16400,16400.00,1911,1911,1911.00
"(38.4, 140.35)",1,6510,6510,6510.00,1867,1867,1867.00
"(33.71667, 74.83333)",1,5000,5000,5000.00,1912,1912,1912.00
"(53.03639, -4.31944)",1,157,157,157.00,1931,1931,1931.00
"(0.0, 37.66667)",1,6000,6000,6000.00,1945,1945,1945.00
"(31.3, 72.38333)",1,5900,5900,5900.00,1873,1873,1873.00
